Engine Size,Cylinders,Horsepower,Vehicle Weight,Acceleration,Model Year,Fuel Type,Transmission,Fuel Consumption
2.5,4,189.0,1603.0,5.6,2019,Petrol,Manual,7.49
1.3,4,146.0,1651.0,8.6,2021,Plug-in Hybrid,Automatic,3.2
2.8,6,238.0,1522.0,3.5,2012,Diesel,Automatic,5.87
2.4,4,172.0,1644.0,6.0,2021,Diesel,Automatic,4.87
4.0,6,297.0,1976.0,3.5,2022,Petrol,Automatic,10.25
3.7,6,271.0,2004.0,4.9,2018,Petrol,Manual,8.95
2.6,8,239.0,1799.0,3.5,2014,Petrol,Manual,8.51
2.0,4,151.0,1484.0,6.8,2020,Hybrid,Automatic,3.2
5.4,12,438.0,2747.0,3.5,2017,Diesel,Automatic,14.45
3.0,8,265.0,2324.0,5.7,2016,Diesel,Manual,8.89
4.1,8,302.0,2245.0,4.2,2019,Petrol,Automatic,12.32
1.6,4,116.0,1316.0,7.7,2019,Plug-in Hybrid,Automatic,3.2
3.2,6,220.0,1795.0,5.0,2023,Hybrid,Automatic,4.47
1.1,4,76.0,1274.0,9.4,2023,Petrol,Manual,3.2
3.3,6,229.0,1649.0,5.5,2014,Petrol,Manual,8.81
5.3,8,391.0,2324.0,3.5,2013,Petrol,Automatic,14.59
2.7,6,203.0,1844.0,5.5,2013,Petrol,Automatic,8.8
1.2,4,124.0,1193.0,7.7,2016,Diesel,Manual,3.2
1.1,4,109.0,1454.0,8.6,2021,Petrol,Manual,3.22
2.7,6,181.0,1815.0,7.1,2023,Petrol,Automatic,6.69
1.7,4,155.0,1348.0,5.8,2018,Diesel,Manual,3.2
1.1,3,113.0,1241.0,7.3,2019,Petrol,Automatic,3.29
4.4,8,318.0,2394.0,5.1,2021,Petrol,Automatic,11.66
3.1,8,275.0,2056.0,4.5,2019,Petrol,Manual,8.62
2.3,4,157.0,1545.0,6.6,2024,Diesel,Automatic,4.13
5.1,8,378.0,2299.0,3.5,2023,Hybrid,Automatic,9.46
1.5,3,93.0,1339.0,8.8,2019,Petrol,Automatic,4.2
5.3,12,400.0,2583.0,3.5,2021,Diesel,Automatic,12.96
2.4,4,172.0,1309.0,4.7,2023,Diesel,Manual,3.69
5.0,8,369.0,2555.0,3.5,2022,Petrol,Automatic,13.45
3.7,8,292.0,2095.0,3.9,2014,Diesel,Manual,8.72
4.7,8,331.0,2304.0,4.5,2022,Petrol,Automatic,11.51
5.4,8,385.0,2375.0,3.5,2013,Petrol,Automatic,14.13
2.3,4,180.0,1456.0,5.2,2024,Plug-in Hybrid,Automatic,3.2
5.3,8,387.0,2342.0,3.5,2015,Plug-in Hybrid,Manual,9.35
2.8,6,230.0,1582.0,4.7,2012,Hybrid,Automatic,5.41
2.7,8,231.0,2169.0,6.8,2014,Petrol,Manual,8.03
2.5,4,209.0,1432.0,3.5,2022,Petrol,Automatic,6.56
3.4,6,235.0,1758.0,3.6,2020,Diesel,Manual,6.73
